backend,cumulative_percent_ms,error,granularity,layer_name,max_ms,mean_ms,min_ms,model,percent_total_ms,rank,runtime,samples,status,std_ms
pytorch,98.794541,,op,aten::conv2d,0.007556,0.006441,0.006017,mobilenetv3_small,0.140014,29,pytorch_cpu,2600,ok,0.000566
pytorch,98.358129,,op,aten::convolution,0.00724,0.006961,0.006544,mobilenetv3_small,0.151318,26,pytorch_cpu,2600,ok,0.000234
pytorch,67.875633,,op,aten::_convolution,0.54511,0.509282,0.465385,mobilenetv3_small,11.07077,2,pytorch_cpu,2600,ok,0.033159
pytorch,99.878941,,op,aten::thnn_conv2d,0.003064,0.002792,0.002535,mobilenetv3_small,0.060692,40,pytorch_cpu,124850,ok,0.000232
pytorch,92.788246,,op,aten::_slow_conv2d_forward,0.113781,0.09596,0.076578,mobilenetv3_small,2.085978,9,pytorch_cpu,124850,ok,0.012437
pytorch,99.757339,,op,aten::empty,0.003531,0.003248,0.002968,mobilenetv3_small,0.070605,38,pytorch_cpu,257900,ok,0.000212
pytorch,99.686734,,op,aten::view,0.004396,0.003773,0.003535,mobilenetv3_small,0.082017,37,pytorch_cpu,126850,ok,0.000317
pytorch,99.604716,,op,aten::resize_,0.004164,0.003805,0.003403,mobilenetv3_small,0.082713,36,pytorch_cpu,124850,ok,0.000259
pytorch,98.654527,,op,aten::batch_norm,0.006853,0.006691,0.006553,mobilenetv3_small,0.145449,28,pytorch_cpu,1700,ok,0.000109
pytorch,96.367211,,op,aten::_batch_norm_impl_index,0.014703,0.014325,0.014106,mobilenetv3_small,0.311397,17,pytorch_cpu,1700,ok,0.000216
pytorch,73.097012,,op,aten::native_batch_norm,0.311953,0.240196,0.183956,mobilenetv3_small,5.22138,3,pytorch_cpu,1700,ok,0.052072
pytorch,99.522003,,op,aten::empty_like,0.004682,0.004621,0.004597,mobilenetv3_small,0.100451,35,pytorch_cpu,1700,ok,3.2e-05
pytorch,85.007065,,op,aten::hardswish_,0.181895,0.136953,0.105784,mobilenetv3_small,2.977084,6,pytorch_cpu,950,ok,0.02488
pytorch,99.818249,,op,aten::narrow,0.003332,0.002802,0.002415,mobilenetv3_small,0.06091,39,pytorch_cpu,245850,ok,0.000344
pytorch,99.182977,,op,aten::slice,0.006644,0.005847,0.005221,mobilenetv3_small,0.127102,32,pytorch_cpu,245850,ok,0.000547
pytorch,99.972067,,op,aten::as_strided,0.001835,0.001552,0.001309,mobilenetv3_small,0.033737,42,pytorch_cpu,246050,ok,0.000225
pytorch,77.899849,,op,aten::cat,0.377564,0.220942,0.164527,mobilenetv3_small,4.802836,4,pytorch_cpu,550,ok,0.081617
pytorch,98.044559,,op,aten::relu_,0.0078,0.007764,0.0077,mobilenetv3_small,0.168774,24,pytorch_cpu,250,ok,3.4e-05
pytorch,82.029981,,op,aten::clamp_min_,0.2043,0.189996,0.18144,mobilenetv3_small,4.130132,5,pytorch_cpu,250,ok,0.008456
pytorch,98.509078,,op,aten::adaptive_avg_pool2d,0.00838,0.006944,0.00655,mobilenetv3_small,0.150949,27,pytorch_cpu,500,ok,0.000719
pytorch,94.63628,,op,aten::mean,0.02719,0.024174,0.02303,mobilenetv3_small,0.525494,12,pytorch_cpu,500,ok,0.001522
pytorch,90.702268,,op,aten::sum,0.22164,0.125484,0.08682,mobilenetv3_small,2.727771,8,pytorch_cpu,500,ok,0.048721
pytorch,99.055875,,op,aten::fill_,0.00604,0.00595,0.00592,mobilenetv3_small,0.129341,31,pytorch_cpu,500,ok,4.5e-05
pytorch,94.110786,,op,aten::div_,0.02992,0.02939,0.02887,mobilenetv3_small,0.63888,11,pytorch_cpu,500,ok,0.000345
pytorch,99.30871,,op,aten::to,0.0062,0.005784,0.00528,mobilenetv3_small,0.125733,33,pytorch_cpu,500,ok,0.000303
pytorch,96.952289,,op,aten::_to_copy,0.01318,0.012882,0.01248,mobilenetv3_small,0.280029,19,pytorch_cpu,500,ok,0.000296
pytorch,98.926534,,op,aten::empty_strided,0.00666,0.006072,0.0059,mobilenetv3_small,0.131993,30,pytorch_cpu,500,ok,0.000295
pytorch,97.204081,,op,aten::copy_,0.012603,0.011583,0.011207,mobilenetv3_small,0.251791,20,pytorch_cpu,1500,ok,0.000516
pytorch,99.938329,,op,aten::detach,0.002757,0.002732,0.00268,mobilenetv3_small,0.059388,41,pytorch_cpu,2000,ok,2.9e-05
pytorch,96.672261,,op,aten::reshape,0.014333,0.014033,0.013672,mobilenetv3_small,0.305049,18,pytorch_cpu,900,ok,0.000229
pytorch,99.421552,,op,aten::_reshape_alias,0.005942,0.005191,0.004947,mobilenetv3_small,0.112842,34,pytorch_cpu,950,ok,0.000379
pytorch,98.206811,,op,aten::relu,0.016867,0.007464,0.005089,mobilenetv3_small,0.162252,25,pytorch_cpu,450,ok,0.004701
pytorch,95.36459,,op,aten::clamp_min,0.016444,0.016044,0.015922,mobilenetv3_small,0.348764,14,pytorch_cpu,450,ok,0.000201
pytorch,95.713224,,op,aten::hardsigmoid,0.016311,0.016038,0.015856,mobilenetv3_small,0.348634,15,pytorch_cpu,450,ok,0.000168
pytorch,87.974497,,op,aten::mul,0.185989,0.136509,0.089822,mobilenetv3_small,2.967432,7,pytorch_cpu,450,ok,0.036385
pytorch,93.471906,,op,aten::add_,0.031883,0.03145,0.031033,mobilenetv3_small,0.68366,10,pytorch_cpu,300,ok,0.000313
pytorch,95.015825,,op,aten::flatten,0.0177,0.01746,0.0171,mobilenetv3_small,0.379545,13,pytorch_cpu,50,ok,0.000224
pytorch,96.055814,,op,aten::linear,0.0174,0.01576,0.01525,mobilenetv3_small,0.342591,16,pytorch_cpu,100,ok,0.000823
pytorch,97.45472,,op,aten::t,0.01235,0.01153,0.01115,mobilenetv3_small,0.250639,21,pytorch_cpu,100,ok,0.000425
pytorch,97.671013,,op,aten::transpose,0.01045,0.00995,0.0096,mobilenetv3_small,0.216293,22,pytorch_cpu,100,ok,0.000298
pytorch,56.804862,,op,aten::addmm,2.8071,2.61316,2.3044,mobilenetv3_small,56.804862,1,pytorch_cpu,100,ok,0.175091
pytorch,97.875785,,op,aten::expand,0.0097,0.00942,0.00915,mobilenetv3_small,0.204772,23,pytorch_cpu,100,ok,0.000201
pytorch,100.0,,op,aten::resolve_conj,0.000275,0.000205,0.000125,mobilenetv3_small,0.004456,44,pytorch_cpu,200,ok,5.1e-05
pytorch,99.995544,,op,aten::dropout_,0.0011,0.00108,0.001,mobilenetv3_small,0.023477,43,pytorch_cpu,50,ok,4e-05
pytorch,99.596864,,op,aten::conv2d,0.004392,0.003849,0.003346,mobilenetv3_small,0.351057,30,pytorch_cuda,2600,ok,0.000428
pytorch,98.312755,,op,aten::convolution,0.005794,0.005388,0.004996,mobilenetv3_small,0.491425,27,pytorch_cuda,2600,ok,0.000313
pytorch,87.038616,,op,aten::_convolution,0.06151,0.025663,0.016477,mobilenetv3_small,2.340654,12,pytorch_cuda,2600,ok,0.017925
pytorch,16.911574,,op,aten::cudnn_convolution,0.246432,0.185419,0.168529,mobilenetv3_small,16.911574,1,pytorch_cuda,2050,ok,0.030535
pytorch,97.82133,,op,aten::empty,0.005457,0.005425,0.005386,mobilenetv3_small,0.4948,26,pytorch_cuda,9400,ok,2.5e-05
pytorch,98.799073,,op,aten::batch_norm,0.005374,0.005332,0.005291,mobilenetv3_small,0.486318,28,pytorch_cuda,1700,ok,3.4e-05
pytorch,91.959891,,op,aten::_batch_norm_impl_index,0.009597,0.00923,0.009074,mobilenetv3_small,0.841844,17,pytorch_cuda,1700,ok,0.000191
pytorch,39.268681,,op,aten::cudnn_batch_norm,0.149206,0.101054,0.088506,mobilenetv3_small,9.216866,3,pytorch_cuda,1700,ok,0.024079
pytorch,99.245807,,op,aten::empty_like,0.00495,0.004898,0.004847,mobilenetv3_small,0.446734,29,pytorch_cuda,1700,ok,3.8e-05
pytorch,94.886005,,op,aten::view,0.007521,0.007338,0.007182,mobilenetv3_small,0.669279,21,pytorch_cuda,1700,ok,0.000132
pytorch,84.697962,,op,aten::hardswish_,0.054742,0.053941,0.053147,mobilenetv3_small,4.919815,11,pytorch_cuda,950,ok,0.000637
pytorch,63.75849,,op,aten::_conv_depthwise2d,0.064409,0.062825,0.061982,mobilenetv3_small,5.730101,7,pytorch_cuda,550,ok,0.000874
pytorch,91.118047,,op,aten::resize_,0.010045,0.00984,0.009682,mobilenetv3_small,0.89748,16,pytorch_cuda,550,ok,0.000128
pytorch,93.534129,,op,aten::relu_,0.00868,0.00804,0.00774,mobilenetv3_small,0.733307,19,pytorch_cuda,250,ok,0.000333
pytorch,74.750343,,op,aten::clamp_min_,0.061,0.057888,0.05658,mobilenetv3_small,5.27981,9,pytorch_cuda,250,ok,0.001589
pytorch,97.32653,,op,aten::adaptive_avg_pool2d,0.0062,0.00593,0.00578,mobilenetv3_small,0.54086,25,pytorch_cuda,500,ok,0.000149
pytorch,46.155018,,op,aten::mean,0.0763,0.075502,0.07459,mobilenetv3_small,6.886337,4,pytorch_cuda,500,ok,0.000644
pytorch,89.22367,,op,aten::reshape,0.011967,0.011537,0.011194,mobilenetv3_small,1.052259,14,pytorch_cuda,900,ok,0.000263
pytorch,96.785671,,op,aten::_reshape_alias,0.006789,0.006608,0.006368,mobilenetv3_small,0.602698,24,pytorch_cuda,950,ok,0.000161
pytorch,79.778147,,op,aten::add_,0.056025,0.055125,0.054663,mobilenetv3_small,5.027805,10,pytorch_cuda,1200,ok,0.000475
pytorch,94.216725,,op,aten::relu,0.007656,0.007484,0.007322,mobilenetv3_small,0.682596,20,pytorch_cuda,450,ok,0.000111
pytorch,58.028389,,op,aten::clamp_min,0.064089,0.063413,0.062789,mobilenetv3_small,5.783731,6,pytorch_cuda,450,ok,0.000536
pytorch,69.470532,,op,aten::hardsigmoid,0.0635,0.062627,0.062122,mobilenetv3_small,5.712042,8,pytorch_cuda,450,ok,0.000515
pytorch,52.244658,,op,aten::mul,0.0682,0.066767,0.065944,mobilenetv3_small,6.08964,5,pytorch_cuda,450,ok,0.000777
pytorch,88.171411,,op,aten::flatten,0.0129,0.01242,0.012,mobilenetv3_small,1.132795,13,pytorch_cuda,50,ok,0.000343
pytorch,90.220567,,op,aten::linear,0.01195,0.01093,0.01005,mobilenetv3_small,0.996896,15,pytorch_cuda,100,ok,0.000785
pytorch,95.541785,,op,aten::t,0.0075,0.00719,0.0069,mobilenetv3_small,0.655781,22,pytorch_cuda,100,ok,0.000193
pytorch,96.182973,,op,aten::transpose,0.00725,0.00703,0.0067,mobilenetv3_small,0.641188,23,pytorch_cuda,100,ok,0.000234
pytorch,99.890551,,op,aten::as_strided,0.0033,0.00322,0.00315,mobilenetv3_small,0.293688,31,pytorch_cuda,200,ok,5.3e-05
pytorch,30.051815,,op,aten::addmm,0.14535,0.14407,0.14295,mobilenetv3_small,13.140241,2,pytorch_cuda,100,ok,0.00096
pytorch,92.800822,,op,aten::expand,0.00935,0.00922,0.00905,mobilenetv3_small,0.840932,18,pytorch_cuda,100,ok,0.000117
pytorch,100.0,,op,aten::dropout_,0.0014,0.0012,0.0011,mobilenetv3_small,0.109449,32,pytorch_cuda,50,ok,0.00011
,,"module 'numpy' has no attribute 'bool'.
`np.bool` was a deprecated alias for the builtin `bool`. To avoid this error in existing code, use `bool` by itself. Doing this will not modify any behavior and is safe. If you specifically wanted the numpy scalar type, use `np.bool_` here.
The aliases was originally deprecated in NumPy 1.20; for more details and guidance see the original release note at:
    https://numpy.org/devdocs/release/1.20.0-notes.html#deprecations",,,,,,mobilenetv3_small,,,tensorrt_fp32,0,error,
,,"module 'numpy' has no attribute 'bool'.
`np.bool` was a deprecated alias for the builtin `bool`. To avoid this error in existing code, use `bool` by itself. Doing this will not modify any behavior and is safe. If you specifically wanted the numpy scalar type, use `np.bool_` here.
The aliases was originally deprecated in NumPy 1.20; for more details and guidance see the original release note at:
    https://numpy.org/devdocs/release/1.20.0-notes.html#deprecations",,,,,,mobilenetv3_small,,,tensorrt_fp16,0,error,
,,"module 'numpy' has no attribute 'bool'.
`np.bool` was a deprecated alias for the builtin `bool`. To avoid this error in existing code, use `bool` by itself. Doing this will not modify any behavior and is safe. If you specifically wanted the numpy scalar type, use `np.bool_` here.
The aliases was originally deprecated in NumPy 1.20; for more details and guidance see the original release note at:
    https://numpy.org/devdocs/release/1.20.0-notes.html#deprecations",,,,,,mobilenetv3_small,,,tensorrt_int8,0,error,
onnxruntime,87.678959,,onnx_node,model_loading_uri,122.791,122.791,122.791,mobilenetv3_small,4.211304,2,onnxrt_cuda,1,ok,0.0
onnxruntime,83.467654,,onnx_node,session_initialization,2433.706,2433.706,2433.706,mobilenetv3_small,83.467654,1,onnxrt_cuda,1,ok,0.0
onnxruntime,99.994536,,onnx_node,Conv:/features/features.0/features.0.0/Conv_fence_before,0.002,0.0011,0.001,mobilenetv3_small,3.8e-05,147,onnxrt_cuda,60,ok,0.0003
onnxruntime,97.844673,,onnx_node,Conv:/features/features.0/features.0.0/Conv_kernel_time,3247.087,54.708017,0.384,mobilenetv3_small,1.876295,5,onnxrt_cuda,60,ok,415.614598
onnxruntime,99.994753,,onnx_node,Conv:/features/features.0/features.0.0/Conv_fence_after,0.001,0.001,0.001,mobilenetv3_small,3.4e-05,153,onnxrt_cuda,9,ok,0.0
onnxruntime,99.994787,,onnx_node,HardSigmoid:/features/features.0/features.0.2/HardSigmoid_fence_before,0.001,0.001,0.001,mobilenetv3_small,3.4e-05,154,onnxrt_cuda,38,ok,0.0
onnxruntime,99.838912,,onnx_node,HardSigmoid:/features/features.0/features.0.2/HardSigmoid_kernel_time,0.367,0.080167,0.064,mobilenetv3_small,0.002749,60,onnxrt_cuda,60,ok,0.040135
onnxruntime,99.994821,,onnx_node,Mul:/features/features.0/features.0.2/Mul_fence_before,0.001,0.001,0.001,mobilenetv3_small,3.4e-05,155,onnxrt_cuda,18,ok,0.0
onnxruntime,99.863621,,onnx_node,Mul:/features/features.0/features.0.2/Mul_kernel_time,0.236,0.070367,0.061,mobilenetv3_small,0.002413,70,onnxrt_cuda,60,ok,0.022993
onnxruntime,99.994459,,onnx_node,FusedConv:/features/features.1/block/block.0/block.0.0/Conv_/features/features.1/block/block.0/block.0.2/Relu_fence_before,0.003,0.001138,0.001,mobilenetv3_small,3.9e-05,145,onnxrt_cuda,58,ok,0.000392
onnxruntime,98.933435,,onnx_node,FusedConv:/features/features.1/block/block.0/block.0.0/Conv_/features/features.1/block/block.0/block.0.2/Relu_kernel_time,100.636,1.905383,0.196,mobilenetv3_small,0.065348,14,onnxrt_cuda,60,ok,12.853653
onnxruntime,99.993972,,onnx_node,GlobalAveragePool:/features/features.1/block/block.1/avgpool/GlobalAveragePool_fence_before,0.111,0.003467,0.001,mobilenetv3_small,0.000119,135,onnxrt_cuda,60,ok,0.014014
onnxruntime,99.832579,,onnx_node,GlobalAveragePool:/features/features.1/block/block.1/avgpool/GlobalAveragePool_kernel_time,0.304,0.116633,0.084,mobilenetv3_small,0.004,58,onnxrt_cuda,60,ok,0.03628
onnxruntime,99.994856,,onnx_node,FusedConv:/features/features.1/block/block.1/fc1/Conv_/features/features.1/block/block.1/activation/Relu_fence_before,0.001,0.001,0.001,mobilenetv3_small,3.4e-05,156,onnxrt_cuda,31,ok,0.0
onnxruntime,99.8245,,onnx_node,FusedConv:/features/features.1/block/block.1/fc1/Conv_/features/features.1/block/block.1/activation/Relu_kernel_time,22.577,0.511817,0.126,mobilenetv3_small,0.017554,56,onnxrt_cuda,60,ok,2.872676
onnxruntime,99.99489,,onnx_node,FusedConv:/features/features.1/block/block.1/fc1/Conv_/features/features.1/block/block.1/activation/Relu_fence_after,0.001,0.001,0.001,mobilenetv3_small,3.4e-05,157,onnxrt_cuda,1,ok,0.0
onnxruntime,99.994924,,onnx_node,Conv:/features/features.1/block/block.1/fc2/Conv_fence_before,0.001,0.001,0.001,mobilenetv3_small,3.4e-05,158,onnxrt_cuda,2,ok,0.0
onnxruntime,99.806946,,onnx_node,Conv:/features/features.1/block/block.1/fc2/Conv_kernel_time,22.525,0.524033,0.139,mobilenetv3_small,0.017973,55,onnxrt_cuda,60,ok,2.864295
onnxruntime,99.994958,,onnx_node,Conv:/features/features.1/block/block.1/fc2/Conv_fence_after,0.001,0.001,0.001,mobilenetv3_small,3.4e-05,159,onnxrt_cuda,1,ok,0.0
onnxruntime,99.994341,,onnx_node,HardSigmoid:/features/features.1/block/block.1/scale_activation/HardSigmoid_fence_before,0.002,0.0012,0.001,mobilenetv3_small,4.1e-05,142,onnxrt_cuda,5,ok,0.0004
onnxruntime,99.873113,,onnx_node,HardSigmoid:/features/features.1/block/block.1/scale_activation/HardSigmoid_kernel_time,0.137,0.067183,0.061,mobilenetv3_small,0.002304,74,onnxrt_cuda,60,ok,0.013397
onnxruntime,99.993343,,onnx_node,Mul:/features/features.1/block/block.1/Mul_fence_before,0.063,0.007889,0.001,mobilenetv3_small,0.000271,132,onnxrt_cuda,9,ok,0.019485
onnxruntime,99.84399,,onnx_node,Mul:/features/features.1/block/block.1/Mul_kernel_time,0.141,0.07355,0.064,mobilenetv3_small,0.002523,62,onnxrt_cuda,60,ok,0.017188
onnxruntime,99.994993,,onnx_node,Conv:/features/features.1/block/block.2/block.2.0/Conv_fence_before,0.001,0.001,0.001,mobilenetv3_small,3.4e-05,160,onnxrt_cuda,4,ok,0.0
onnxruntime,99.097828,,onnx_node,Conv:/features/features.1/block/block.2/block.2.0/Conv_kernel_time,25.842,0.612067,0.172,mobilenetv3_small,0.020992,19,onnxrt_cuda,60,ok,3.284672
onnxruntime,99.995027,,onnx_node,Conv:/features/features.1/block/block.2/block.2.0/Conv_fence_after,0.001,0.001,0.001,mobilenetv3_small,3.4e-05,161,onnxrt_cuda,1,ok,0.0
onnxruntime,99.994718,,onnx_node,FusedConv:/features/features.2/block/block.0/block.0.0/Conv_/features/features.2/block/block.0/block.0.2/Relu_fence_before,0.002,0.001032,0.001,mobilenetv3_small,3.5e-05,152,onnxrt_cuda,31,ok,0.000177
